"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"149",572021,"James Pazos","149","100.0","0.200","0.114","0.250","0.314","0.255","0.281","0.218","7","35","89.6","0.5","2085","90.1","90.21","22","69","79","0.1","6.04","110","152","117","148","308","331","308"
"149",657766,"Locke St. John","149","100.0","0.241","0.103","0.292","0.345","0.302","0.299","0.241","7","29","87.6","19.8","2148","85.1","84.68","13","68","81","-0.4","6.05","106","152","115","148","297","320","295"
"146",650556,"Bryan Abreu","146","100.0","0.138","0.034","0.250","0.172","0.185","0.246","0.202","4","29","87.6","5.3","2599","89.1","88.40","29","62","84","-0.7","5.94","114","157","124","149","290","317","291"
"144",660813,"Brusdar Graterol","144","100.0","0.278","0.111","0.346","0.389","0.298","0.290","0.264","10","36","85.7","4.6","2091","95.5","94.67","14","75","68","-0.8","5.70","109","152","113","146","298","325","297"
"143",641871,"Keynan Middleton","143","100.0","0.154","0.077","0.200","0.231","0.274","0.371","0.236","4","26","91.5","17.3","2292","89.6","89.83","15","65","77","0.2","6.44","111","152","118","145","299","316","290"
"143",457754,"Jon Edwards","143","100.0","0.179","0.286","0.143","0.464","0.359","0.463","0.310","5","28","87.0","11.9","2511","89.3","88.88","19","61","80","-0.4","5.89","108","154","121","148","290","309","284"
"142",623402,"Tim Peterson","142","100.0","0.259","0.148","0.261","0.407","0.367","0.392","0.289","7","27","88.1","25.6","2006","86.9","86.47","14","58","82","-0.4","6.01","109","146","111","145","298","312","290"
"141",668665,"Stephen Nogosek","141","100.0","0.387","0.258","0.417","0.645","0.436","0.381","0.334","12","31","89.5","12.6","2353","91.6","91.51","9","62","79","-0.1","6.11","114","151","112","147","301","323","298"
"139",621261,"Corey Oswalt","139","100.0","0.321","0.250","0.364","0.571","0.421","0.373","0.280","9","28","86.5","13.6","1950","88.9","89.57","9","58","81","0.7","6.53","111","149","115","147","294","323","294"
"138",670426,"Phillip Diehl","138","100.0","0.313","0.250","0.391","0.563","0.393","0.400","0.308","10","32","91.8","20.2","2588","85.6","83.72","25","66","71","-1.9","4.88","119","154","122","149","308","338","310"
